frame_id,frame_number,num_detections,num_active_tracks
run_231020_seg000_frame41934,0,54,54
run_231020_seg001_frame1668,1,55,85
run_231020_seg001_frame7325,2,48,104
run_231020_seg002_frame18053,3,43,126
run_231020_seg002_frame48627,4,60,169
run_231020_seg003_frame16078,5,61,206
run_231020_seg004_frame14657,6,75,250
run_231020_seg004_frame9173,7,71,280
run_231020_seg005_frame48294,8,70,321
run_231020_seg005_frame6746,9,66,361
run_231020_seg006_frame44377,10,59,391
run_231020_seg007_frame35770,11,60,422
run_231020_seg007_frame48569,12,64,457
run_231020_seg008_frame38727,13,53,487
run_231020_seg008_frame5726,14,63,527
run_231020_seg009_frame27680,15,67,564
run_231020_seg010_frame1981,16,56,592
run_231020_seg010_frame2111,17,58,601
run_231020_seg011_frame14357,18,55,630
run_231020_seg011_frame6169,19,73,668
run_231020_seg012_frame15276,20,54,696
run_231020_seg012_frame33147,21,60,733
run_231020_seg013_frame39482,22,82,785
run_231020_seg014_frame1768,23,74,823
run_231020_seg014_frame36810,24,82,870
run_231020_seg015_frame13060,25,68,907
run_231020_seg015_frame46954,26,88,962
run_231020_seg016_frame42619,27,60,992
run_231020_seg017_frame35742,28,67,1035
run_231020_seg017_frame45991,29,70,1075
run_231020_seg018_frame14475,30,64,1105
run_231020_seg018_frame27522,31,65,1137
run_231020_seg019_frame29468,32,54,1165
run_231020_seg020_frame18260,33,61,1202
run_231020_seg020_frame38647,34,57,1232
run_231020_seg021_frame454,35,56,1262
run_231020_seg021_frame53075,36,58,1290
run_231020_seg022_frame49758,37,65,1325
run_231020_seg023_frame10492,38,70,1359
run_231020_seg023_frame52839,39,71,1400
run_231020_seg024_frame27725,40,52,1424
run_231020_seg024_frame45782,41,62,1460
run_231020_seg025_frame22327,42,62,1494
run_231020_seg026_frame10218,43,66,1531
run_231020_seg026_frame18239,44,68,1571
run_231020_seg027_frame14139,45,60,1608
run_231020_seg027_frame50065,46,56,1639
run_231020_seg028_frame22088,47,52,1667
run_231020_seg029_frame6107,48,54,1700
run_231020_seg029_frame6727,49,51,1729
run_231020_seg030_frame24927,50,43,1750
run_231020_seg030_frame6367,51,48,1780
run_231020_seg031_frame23555,52,37,1801
run_231020_seg032_frame22570,53,42,1829
run_231020_seg032_frame39594,54,58,1867
run_231020_seg033_frame17364,55,57,1901
run_231020_seg033_frame52924,56,43,1925
run_231020_seg034_frame2876,57,46,1952
run_231020_seg035_frame30137,58,56,1990
run_231020_seg035_frame47852,59,50,2016
run_231020_seg036_frame35171,60,48,2046
run_231020_seg036_frame8209,61,48,2072
run_231020_seg037_frame24836,62,45,2096
run_231020_seg037_frame5193,63,48,2121
run_231020_seg038_frame36207,64,42,2148
run_231020_seg039_frame19242,65,47,2176
run_231020_seg039_frame41227,66,59,2215
run_231020_seg040_frame23729,67,48,2237
run_231020_seg040_frame40564,68,47,2260
run_231020_seg041_frame37866,69,58,2298
run_231020_seg042_frame12630,70,61,2334
run_231020_seg042_frame46203,71,36,2352
run_231020_seg043_frame3032,72,47,2378
run_231020_seg043_frame4587,73,38,2392
run_231020_seg044_frame43365,74,42,2414
run_231020_seg045_frame14964,75,54,2443
run_231020_seg045_frame50692,76,38,2460
run_231020_seg046_frame18994,77,54,2498
run_231020_seg046_frame5258,78,54,2527
run_231020_seg047_frame15285,79,55,2562
run_231106_seg000_frame6648,80,161,2707
run_231106_seg001_frame18246,81,110,2779
run_231106_seg001_frame24940,82,121,2845
run_231106_seg002_frame29743,83,89,2892
run_231106_seg002_frame41689,84,105,2962
run_231106_seg003_frame23938,85,100,3014
run_231106_seg004_frame10688,86,103,3078
run_231106_seg004_frame24289,87,90,3121
run_231106_seg005_frame13759,88,111,3191
run_231106_seg005_frame23312,89,81,3228
run_231106_seg006_frame43949,90,90,3277
run_231106_seg007_frame17525,91,106,3339
run_231106_seg007_frame46023,92,128,3422
run_231106_seg008_frame42498,93,128,3494
run_231106_seg008_frame44825,94,107,3546
run_231106_seg009_frame4708,95,109,3609
run_231106_seg010_frame39949,96,109,3673
run_231106_seg010_frame41642,97,110,3722
run_231106_seg011_frame11244,98,130,3805
run_231106_seg011_frame35034,99,130,3876
run_231106_seg012_frame16072,100,120,3951
run_231106_seg012_frame47813,101,141,4042
run_231106_seg013_frame10737,102,133,4112
run_231106_seg014_frame24896,103,121,4182
run_231106_seg014_frame30323,104,105,4227
run_231106_seg015_frame17720,105,139,4318
run_231106_seg015_frame41972,106,123,4381
run_231106_seg016_frame45128,107,143,4471
run_231106_seg017_frame14421,108,120,4529
run_231106_seg017_frame36529,109,114,4587
run_231106_seg018_frame21281,110,127,4659
run_231106_seg018_frame44895,111,113,4718
run_231106_seg019_frame50381,112,126,4791
run_231106_seg020_frame3694,113,117,4844
run_231106_seg020_frame50884,114,131,4921
run_231106_seg021_frame15039,115,119,4984
run_231106_seg021_frame53886,116,144,5075
run_231106_seg022_frame2132,117,125,5114
run_231106_seg023_frame20702,118,137,5208
run_231106_seg023_frame52788,119,140,5294
run_231106_seg024_frame17575,120,126,5363
run_231106_seg024_frame26319,121,124,5434
run_231106_seg025_frame4366,122,137,5519
run_231106_seg026_frame13855,123,121,5587
run_231106_seg026_frame37199,124,86,5625
run_231106_seg027_frame20651,125,123,5706
run_231106_seg027_frame47078,126,89,5751
run_231106_seg028_frame13963,127,126,5831
run_231106_seg029_frame32746,128,103,5891
run_231106_seg029_frame42983,129,111,5960
run_231106_seg030_frame25957,130,100,6014
run_231106_seg030_frame42158,131,109,6078
run_231106_seg031_frame30100,132,106,6146
run_231106_seg032_frame17388,133,101,6207
run_231106_seg032_frame9392,134,126,6286
run_231106_seg033_frame16191,135,96,6338
run_231106_seg033_frame9179,136,117,6413
run_231106_seg034_frame48852,137,85,6460
run_231106_seg035_frame35351,138,115,6532
run_231106_seg035_frame36818,139,126,6597
run_231106_seg036_frame17248,140,77,6635
run_231106_seg036_frame48985,141,114,6715
run_231106_seg037_frame28106,142,106,6774
run_231106_seg037_frame38340,143,119,6842
run_231106_seg038_frame38271,144,114,6901
run_231106_seg039_frame23752,145,114,6974
run_231106_seg039_frame26204,146,103,7022
run_231106_seg040_frame14402,147,103,7084
run_231106_seg040_frame9094,148,118,7160
run_231106_seg041_frame33421,149,127,7243
run_231106_seg042_frame32372,150,83,7288
run_231106_seg042_frame5986,151,129,7380
run_231106_seg043_frame3116,152,106,7437
run_231106_seg043_frame49559,153,146,7529
run_231106_seg044_frame7214,154,120,7601
run_231106_seg045_frame10045,155,109,7664
run_231106_seg045_frame41149,156,119,7736
run_231106_seg046_frame10513,157,138,7817
run_231106_seg046_frame51938,158,100,7873
run_231106_seg047_frame44625,159,90,7923
run_231127_seg000_frame27695,160,41,7951
run_231127_seg001_frame39115,161,19,7956
run_231127_seg001_frame4192,162,31,7975
run_231127_seg002_frame25038,163,17,7980
run_231127_seg002_frame25245,164,18,7986
run_231127_seg003_frame39081,165,18,7995
run_231127_seg004_frame30703,166,37,8024
run_231127_seg004_frame34705,167,36,8043
