epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.65196,0.07876,3.54371,0.81301,3.46238,9.94972,0.01613,0.07981,0.00891,0.00284,0.0778,0.38498,0.05985,0.02001,0.08826,3.95031,0.80294,2.89612,10.1503,0.095875,4.16667e-05,4.16667e-05
2,9.83453,0.08059,3.37991,0.80839,3.53736,10.3073,0.0214,0.11737,0.01255,0.00432,0.06935,0.38028,0.05326,0.0182,0.08379,3.8761,0.80911,2.83082,9.66478,0.090925,9.1661e-05,9.1661e-05
3,14.0572,0.08228,3.61801,0.80871,3.4645,9.79366,0.09859,0.38967,0.07111,0.03159,0.07679,0.59624,0.07917,0.03695,0.05756,3.06753,0.65626,1.58446,7.484,0.085975,0.000141632,0.000141632
4,18.7681,0.071,2.44633,0.66301,1.246,8.66715,0.57283,0.50235,0.47046,0.1417,0.64563,0.61585,0.58955,0.27833,0.06741,2.50953,0.65596,1.14827,8.79303,0.0810249,0.00019156,0.00019156
5,23.6918,0.0734,1.86767,0.56938,1.17716,8.68908,0.71844,0.64319,0.67411,0.24964,0.75635,0.71412,0.77946,0.51396,0.05803,1.51386,0.53913,0.98526,7.62873,0.0760748,0.000241428,0.000241428
6,28.4197,0.05435,1.42684,0.46054,0.90974,6.87941,0.76044,0.8169,0.82995,0.32934,0.77803,0.84038,0.87034,0.47602,0.05285,1.68661,0.36944,0.75067,7.55198,0.0711246,0.000291217,0.000291217
7,33.1055,0.05669,1.17916,0.40057,0.7533,7.25047,0.83966,0.87324,0.85193,0.36365,0.84367,0.88732,0.86876,0.4823,0.05111,1.62032,0.29272,0.72345,6.89985,0.0661742,0.000340909,0.000340909
8,37.7742,0.05671,1.13865,0.33863,0.72106,6.88413,0.83966,0.87324,0.85193,0.36365,0.84367,0.88732,0.86876,0.4823,0.05111,1.62032,0.29272,0.72345,6.89985,0.0612238,0.000390484,0.000390484
9,42.4457,0.05214,1.10918,0.33935,0.86943,6.82794,0.82339,0.86385,0.81173,0.36068,0.8182,0.89202,0.84728,0.49597,0.05014,1.48083,0.27471,0.65822,6.66542,0.0562733,0.000439926,0.000439926
10,47.161,0.05245,1.09508,0.34869,0.76187,6.53373,0.79646,0.86342,0.8625,0.38026,0.81352,0.88072,0.90248,0.50138,0.04974,1.51109,0.25285,0.78695,6.65644,0.0513225,0.000489214,0.000489214
11,51.825,0.05001,1.15211,0.30328,0.76042,6.60898,0.81635,0.87649,0.88096,0.41204,0.83878,0.9108,0.92729,0.6409,0.04797,1.13224,0.2235,0.70417,6.39619,0.0463717,0.000538333,0.000538333
12,56.4869,0.04814,1.01155,0.26746,0.6757,6.53537,0.81635,0.87649,0.88096,0.41204,0.83878,0.9108,0.92729,0.6409,0.04797,1.13224,0.2235,0.70417,6.39619,0.0414206,0.000587262,0.000587262
13,61.1634,0.04891,1.08604,0.27084,0.65718,6.54148,0.84077,0.86764,0.87597,0.37593,0.87078,0.90141,0.92326,0.65438,0.04978,1.05452,0.22678,0.71883,6.45556,0.0364693,0.000635984,0.000635984
14,65.5942,0.05,1.07423,0.27949,0.60684,6.33444,0.84077,0.86764,0.87597,0.37593,0.87078,0.90141,0.92326,0.65438,0.04978,1.05452,0.22678,0.71883,6.45556,0.0315178,0.000684482,0.000684482
15,70.0098,0.04867,0.96667,0.27218,0.61448,6.41658,0.82552,0.89671,0.90046,0.42208,0.85625,0.92958,0.93346,0.67394,0.04656,0.99964,0.1966,0.74443,6.10782,0.0265661,0.000732737,0.000732737
16,74.6699,0.04485,0.88658,0.25128,0.58332,6.13183,0.82552,0.89671,0.90046,0.42208,0.85625,0.92958,0.93346,0.67394,0.04656,0.99964,0.1966,0.74443,6.10782,0.0216141,0.000780731,0.000780731
17,79.3327,0.0475,0.96804,0.24643,0.59809,6.00297,0.82761,0.86854,0.87625,0.35334,0.86934,0.92488,0.93654,0.64824,0.0525,1.07899,0.19656,0.73609,6.71328,0.0166618,0.000828447,0.000828447
